#Drive Frequency/2pi [GHz]    Time [ns]                     P(0)                          P(16)                         P(32)                         P(64)                         
44.994                        58.0005                       0.978821                      0.0206296                     0.000222257                   0                             
44.994                        59.0005                       0.977722                      0.0217215                     0.000250858                   0                             
44.994                        60.0005                       0.976754                      0.0228552                     0.000275329                   0                             
44.994                        61.0005                       0.975679                      0.024014                      0.000297858                   0                             
44.994                        62.0005                       0.974368                      0.0251764                     0.000326662                   0                             
44.994                        63.0005                       0.972973                      0.0263457                     0.000364333                   0                             
44.994                        64.0005                       0.97173                       0.0275468                     0.000403527                   0                             
44.994                        65.0005                       0.970636                      0.0287897                     0.000437138                   0                             
44.994                        66.0005                       0.969469                      0.0300511                     0.000468903                   0                             
44.994                        67.0005                       0.968078                      0.031302                      0.000508804                   0                             
44.994                        68.0005                       0.966589                      0.0325475                     0.000558751                   0                             
44.994                        69.0005                       0.965237                      0.0338208                     0.000609144                   0                             
44.994                        70.0005                       0.964051                      0.035135                      0.000652278                   0                             
44.994                        71.0005                       0.962828                      0.0364598                     0.000693792                   0                             
44.994                        72.0005                       0.9614                        0.0377582                     0.00074524                    0                             
44.994                        73.0005                       0.959863                      0.0390373                     0.000807354                   0                             
44.994                        74.0005                       0.958448                      0.0403393                     0.000868215                   0                             
44.994                        75.0005                       0.957214                      0.0416805                     0.00091998                    0                             
44.994                        76.0005                       0.955977                      0.0430232                     0.000970479                   0                             
44.994                        77.0005                       0.954561                      0.044323                      0.00103249                    0                             
44.994                        78.0005                       0.953026                      0.045589                      0.00110506                    0                             
44.994                        79.0005                       0.951599                      0.0468725                     0.00117405                    0                             
44.994                        80.0005                       0.950364                      0.0481926                     0.00123205                    0                             
44.994                        81.0005                       0.949163                      0.0495049                     0.00128927                    0                             
44.994                        82.0005                       0.94781                       0.050758                      0.00135922                    0                             
44.994                        83.0005                       0.946332                      0.0519635                     0.00143884                    0                             
44.994                        84.0005                       0.944946                      0.0531805                     0.00151202                    0                             
44.994                        85.0005                       0.943761                      0.0544306                     0.0015724                     0                             
44.994                        86.0005                       0.942645                      0.0556637                     0.00163262                    0                             
44.994                        87.0005                       0.941405                      0.056823                      0.00170639                    0                             
44.994                        88.0005                       0.940037                      0.0579221                     0.00178815                    0                             
44.994                        89.0005                       0.938744                      0.0590267                     0.00186025                    0                             
44.994                        90.0005                       0.93766                       0.0601602                     0.00191798                    0                             
44.994                        91.0005                       0.936678                      0.0612681                     0.00197641                    0                             
44.994                        92.0005                       0.935601                      0.0622899                     0.00204877                    0                             
44.994                        93.0005                       0.934395                      0.0632413                     0.00212681                    0                             
44.994                        94.0005                       0.933246                      0.0641921                     0.00219185                    0                             
44.994                        95.0005                       0.932308                      0.0651666                     0.00224142                    0                             
44.994                        96.0005                       0.931503                      0.0661077                     0.00229281                    0                             
44.994                        97.0005                       0.930631                      0.0669539                     0.00235816                    0                             
44.994                        98.0005                       0.92963                       0.0677223                     0.0024264                     0                             
44.994                        99.0005                       0.928667                      0.068484                      0.00247848                    0                             
44.994                        100.001                       0.927915                      0.0692634                     0.00251464                    0                             
44.994                        101.001                       0.927324                      0.0700031                     0.00255406                    0                             
44.994                        102.001                       0.926693                      0.0706427                     0.00260723                    0                             
44.994                        103.001                       0.925934                      0.0712004                     0.0026603                     0                             
44.994                        104.001                       0.925193                      0.0717456                     0.0026945                     0                             
44.994                        105.001                       0.924661                      0.0723017                     0.00271316                    0                             
44.994                        106.001                       0.924311                      0.0728132                     0.0027369                     0                             
44.994                        107.001                       0.923947                      0.0732236                     0.00277398                    0                             
44.994                        108.001                       0.923453                      0.0735512                     0.00280798                    0                             
44.994                        109.001                       0.922959                      0.0738611                     0.00282113                    0                             
44.994                        110.001                       0.922666                      0.0741742                     0.00282001                    0                             
44.994                        111.001                       0.922574                      0.0744399                     0.00282615                    0                             
44.994                        112.001                       0.92249                       0.0746077                     0.00284507                    0                             
44.994                        113.001                       0.922277                      0.0746953                     0.00285815                    0                             
44.994                        114.001                       0.922042                      0.0747604                     0.00284931                    0                             
44.994                        115.001                       0.921999                      0.0748212                     0.00282845                    0                             
44.994                        116.001                       0.92217                       0.0748335                     0.00281722                    0                             
44.994                        117.001                       0.922367                      0.0747554                     0.00281805                    0                             
44.994                        118.001                       0.922435                      0.074603                      0.00281063                    0                             
44.994                        119.001                       0.922461                      0.0744242                     0.00278126                    0                             
44.994                        120.001                       0.922663                      0.0742336                     0.00274291                    0                             
44.994                        121.001                       0.923089                      0.073996                      0.00271661                    0                             
44.994                        122.001                       0.923556                      0.0736794                     0.00270141                    0                             
44.994                        123.001                       0.923893                      0.0732972                     0.00267597                    0                             
44.994                        124.001                       0.924168                      0.072886                      0.00262956                    0                             
44.994                        125.001                       0.9246                        0.0724565                     0.00257787                    0                             
44.994                        126.001                       0.925259                      0.0719841                     0.0025404                     0                             
44.994                        127.001                       0.925971                      0.0714473                     0.0025127                     0                             
44.994                        128.001                       0.926554                      0.0708564                     0.00247321                    0                             
44.994                        129.001                       0.927052                      0.0702352                     0.0024147                     0                             
44.994                        130.001                       0.927685                      0.0695909                     0.00235492                    0                             
44.994                        131.001                       0.928543                      0.0689104                     0.00231098                    0                             
44.994                        132.001                       0.929465                      0.0681832                     0.00227505                    0                             
44.994                        133.001                       0.930258                      0.0674152                     0.00222623                    0                             
44.994                        134.001                       0.930944                      0.0666171                     0.00216112                    0                             
44.994                        135.001                       0.931739                      0.0657935                     0.00209874                    0                             
44.994                        136.001                       0.932753                      0.064943                      0.00205301                    0                             
44.994                        137.001                       0.933837                      0.0640655                     0.00201301                    0                             
44.994                        138.001                       0.934793                      0.0631615                     0.0019595                     0                             
44.994                        139.001                       0.935621                      0.0622294                     0.00189299                    0                             
44.994                        140.001                       0.936529                      0.0612719                     0.00183285                    0                             
44.994                        141.001                       0.937643                      0.0602993                     0.00178913                    0                             
44.994                        142.001                       0.938835                      0.0593201                     0.00174848                    0                             
44.994                        143.001                       0.9399                        0.0583292                     0.00169419                    0                             
44.994                        144.001                       0.940819                      0.0573139                     0.00163053                    0                             
44.994                        145.001                       0.941785                      0.056276                      0.00157617                    0                             
44.994                        146.001                       0.942942                      0.0552367                     0.00153695                    0                             
44.994                        147.001                       0.944183                      0.0542108                     0.00149789                    0                             
44.994                        148.001                       0.9453                        0.0531872                     0.00144562                    0                             
44.994                        149.001                       0.946254                      0.0521439                     0.00138769                    0                             
44.994                        150.001                       0.94722                       0.0510836                     0.00134108                    0                             
44.994                        151.001                       0.948356                      0.050038                      0.00130742                    0                             
44.994                        152.001                       0.949581                      0.0490244                     0.00127107                    0                             
44.994                        153.001                       0.95069                       0.0480255                     0.00122251                    0                             
44.994                        154.001                       0.95162                       0.0470127                     0.00117188                    0                             
44.994                        155.001                       0.952529                      0.0459902                     0.00113354                    0                             
44.994                        156.001                       0.953588                      0.0449949                     0.0011051                     0                             
44.994                        157.001                       0.954743                      0.0440466                     0.00107145                    0                             
44.994                        158.001                       0.955793                      0.0431223                     0.00102721                    0                             
44.994                        159.001                       0.956652                      0.0421894                     0.00098414                    0                             
44.994                        160.001                       0.957456                      0.0412549                     0.000953323                   0                             
44.994                        161.001                       0.958388                      0.0403599                     0.000929036                   0                             
44.994                        162.001                       0.959424                      0.0395231                     0.000897713                   0                             
44.994                        163.001                       0.960369                      0.0387164                     0.000858012                   0                             
44.994                        164.001                       0.961116                      0.0379061                     0.000822246                   0                             
44.994                        165.001                       0.961777                      0.0371025                     0.000797812                   0                             
44.994                        166.001                       0.962543                      0.0363482                     0.000776567                   0                             
44.994                        167.001                       0.963422                      0.0356589                     0.000747349                   0                             
44.994                        168.001                       0.964228                      0.0350028                     0.00071243                    0                             
44.994                        169.001                       0.964832                      0.0343471                     0.00068362                    0                             
44.994                        170.001                       0.965323                      0.0337053                     0.000664541                   0                             
44.994                        171.001                       0.965897                      0.0331196                     0.00064566                    0                             
44.994                        172.001                       0.966591                      0.032601                      0.000618841                   0                             
44.994                        173.001                       0.967236                      0.0321156                     0.000589274                   0                             
44.994                        174.001                       0.96768                       0.0316333                     0.000567308                   0                             
44.994                        175.001                       0.967986                      0.0311706                     0.000553001                   0                             
44.994                        176.001                       0.968355                      0.0307667                     0.000536488                   0                             
44.994                        177.001                       0.968855                      0.0304279                     0.000512981                   0                             
44.994                        178.001                       0.969327                      0.0301196                     0.000489708                   0                             
44.994                        179.001                       0.969607                      0.0298157                     0.000474786                   0                             
44.994                        180.001                       0.96973                       0.0295344                     0.000465178                   0                             
44.994                        181.001                       0.969895                      0.029311                      0.000451664                   0                             
44.994                        182.001                       0.9702                        0.029147                      0.000432828                   0                             
44.994                        183.001                       0.970504                      0.0290086                     0.000416971                   0                             
44.994                        184.001                       0.970627                      0.0288746                     0.000409452                   0                             
44.994                        185.001                       0.97058                       0.0287637                     0.000404797                   0                             
44.994                        186.001                       0.970558                      0.0287058                     0.000395246                   0                             
44.994                        187.001                       0.970683                      0.0286987                     0.000382507                   0                             
44.994                        188.001                       0.970835                      0.0287114                     0.000375013                   0                             
44.994                        189.001                       0.970822                      0.028727                      0.00037511                    0                             
44.994                        190.001                       0.97063                       0.0287635                     0.00037564                    0                             
44.994                        191.001                       0.970448                      0.028845                      0.000370913                   0                             
44.994                        192.001                       0.970418                      0.0289668                     0.000365306                   0                             
44.994                        193.001                       0.970443                      0.0291019                     0.000366552                   0                             
44.994                        194.001                       0.970322                      0.0292377                     0.000373985                   0                             
44.994                        195.001                       0.970019                      0.0293897                     0.000379546                   0                             
44.994                        196.001                       0.969712                      0.0295761                     0.000379971                   0                             
44.994                        197.001                       0.969562                      0.0297915                     0.000381725                   0                             
44.994                        198.001                       0.969493                      0.0300141                     0.000391201                   0                             
44.994                        199.001                       0.969301                      0.0302345                     0.000404938                   0                             
44.994                        200.001                       0.968929                      0.0304644                     0.000414691                   0                             
44.994                        201.001                       0.96854                       0.0307166                     0.000419761                   0                             
44.994                        202.001                       0.968309                      0.0309865                     0.00042808                    0                             
44.994                        203.001                       0.968182                      0.0312581                     0.000444255                   0                             
44.994                        204.001                       0.967958                      0.0315244                     0.000462418                   0                             
44.994                        205.001                       0.967559                      0.0317923                     0.000474748                   0                             
44.994                        206.001                       0.967132                      0.0320696                     0.000483053                   0                             
44.994                        207.001                       0.966861                      0.0323539                     0.000496121                   0                             
44.994                        208.001                       0.966716                      0.0326356                     0.000516546                   0                             
44.994                        209.001                       0.9665                        0.032909                      0.000536545                   0                             
44.994                        210.001                       0.966118                      0.0331756                     0.000549207                   0                             
44.994                        211.001                       0.965697                      0.0334388                     0.000558626                   0                             
44.994                        212.001                       0.965427                      0.0336995                     0.000573887                   0                             
44.994                        213.001                       0.965302                      0.0339546                     0.000595538                   0                             
44.994                        214.001                       0.965131                      0.0341987                     0.000614433                   0                             
44.994                        215.001                       0.964806                      0.0344277                     0.000624909                   0                             
44.994                        216.001                       0.964432                      0.0346415                     0.000632998                   0                             
44.994                        217.001                       0.9642                        0.034845                      0.000647611                   0                             
44.994                        218.001                       0.964126                      0.0350408                     0.000667382                   0                             
44.994                        219.001                       0.964035                      0.0352237                     0.000682362                   0                             
44.994                        220.001                       0.963801                      0.035384                      0.000688323                   0                             
44.994                        221.001                       0.963508                      0.035519                      0.00069281                    0                             
44.994                        222.001                       0.963344                      0.0356374                     0.000704182                   0                             
44.994                        223.001                       0.96335                       0.0357474                     0.000719413                   0                             
44.994                        224.001                       0.963364                      0.0358432                     0.000728273                   0                             
44.994                        225.001                       0.963247                      0.0359105                     0.000728017                   0                             
44.994                        226.001                       0.963062                      0.0359444                     0.000727241                   0                             
44.994                        227.001                       0.96299                       0.0359573                     0.000733486                   0                             
44.994                        228.001                       0.963095                      0.0359621                     0.000742386                   0                             
44.994                        229.001                       0.963232                      0.0359526                     0.00074389                    0                             
44.994                        230.001                       0.963251                      0.0359103                     0.000736664                   0                             
44.994                        231.001                       0.963191                      0.0358292                     0.000729892                   0                             
44.994                        232.001                       0.963226                      0.0357247                     0.000730113                   0                             
44.994                        233.001                       0.96344                       0.0356131                     0.000731994                   0                             
44.994                        234.001                       0.963707                      0.035488                      0.000726024                   0                             
44.994                        235.001                       0.963868                      0.0353284                     0.000712126                   0                             
44.994                        236.001                       0.963939                      0.0351273                     0.000699621                   0                             
44.994                        237.001                       0.964085                      0.0349022                     0.000693971                   0                             
44.994                        238.001                       0.964409                      0.0346719                     0.000689255                   0                             
44.994                        239.001                       0.964803                      0.0344301                     0.000676774                   0                             
44.994                        240.001                       0.965105                      0.0341544                     0.00065746                    0                             
44.994                        241.001                       0.965305                      0.0338375                     0.000640378                   0                             
44.994                        242.001                       0.965558                      0.0334979                     0.000629925                   0                             
44.994                        243.001                       0.965983                      0.0331556                     0.000619953                   0                             
44.994                        244.001                       0.966494                      0.032805                      0.00060273                    0                             
44.994                        245.001                       0.966922                      0.0324235                     0.000579904                   0                             
44.994                        246.001                       0.967238                      0.0320037                     0.000559975                   0                             
44.994                        247.001                       0.967582                      0.0315642                     0.000546373                   0                             
44.994                        248.001                       0.968088                      0.0311253                     0.000533045                   0                             
44.994                        249.001                       0.968694                      0.0306823                     0.000513273                   0                             
44.994                        250.001                       0.969228                      0.0302136                     0.000489117                   0                             
44.994                        251.001                       0.969638                      0.0297122                     0.000468292                   0                             
44.994                        252.001                       0.970052                      0.0291955                     0.000453414                   0                             
44.994                        253.001                       0.970616                      0.0286831                     0.000438784                   0                             
44.994                        254.001                       0.971288                      0.0281718                     0.000418654                   0                             
44.994                        255.001                       0.971898                      0.0276418                     0.000395215                   0                             
44.994                        256                           0.972374                      0.0270865                     0.000375274                   0                             
44.994                        257                           0.97283                       0.0265214                     0.000360824                   0                             
44.994                        258                           0.973418                      0.0259649                     0.00034671                    0                             
44.994                        259                           0.974123                      0.025415                      0.000328058                   0                             
44.994                        260                           0.974775                      0.0248549                     0.000306948                   0                             
44.994                        261                           0.975285                      0.0242779                     0.000289237                   0                             
44.994                        262                           0.97575                       0.0236975                     0.000276493                   0                             
44.994                        263                           0.97633                       0.0231301                     0.000264229                   0                             
44.994                        264                           0.97703                       0.0225751                     0.000248317                   0                             
44.994                        265                           0.977688                      0.0220186                     0.000230533                   0                             
44.994                        266                           0.978196                      0.0214545                     0.000215819                   0                             
44.994                        267                           0.978637                      0.0208933                     0.000205503                   0                             
44.994                        268                           0.979174                      0.0203493                     0.000195835                   0                             
44.994                        269                           0.979833                      0.0198234                     0.000183285                   0                             
44.994                        270                           0.98046                       0.0193044                     0.000169203                   0                             
44.994                        271                           0.980935                      0.0187866                     0.000157693                   0                             
44.994                        272                           0.981322                      0.0182778                     0.000150005                   0                             
44.994                        273                           0.981784                      0.01779                       0.000143129                   0                             
44.994                        274                           0.982368                      0.0173251                     0.000134001                   0                             
44.994                        275                           0.982932                      0.0168745                     0.000123485                   0                             
44.994                        276                           0.983343                      0.0164329                     0.000114952                   0                             
44.994                        277                           0.983648                      0.0160055                     0.000109692                   0                             
44.994                        278                           0.984008                      0.0156019                     0.000105403                   0                             
44.994                        279                           0.984488                      0.0152249                     9.93741e-05                   0                             
44.994                        280                           0.984962                      0.0148681                     9.19767e-05                   0                             
44.994                        281                           0.985287                      0.0145263                     8.59549e-05                   0                             
44.994                        282                           0.985491                      0.0142025                     8.27088e-05                   0                             
44.994                        283                           0.98573                       0.0139043                     8.05868e-05                   0                             
44.994                        284                           0.986088                      0.0136347                     7.71516e-05                   0                             
44.994                        285                           0.986454                      0.0133892                     7.2304e-05                    0                             
44.994                        286                           0.986677                      0.0131627                     6.82614e-05                   0                             
44.994                        287                           0.986769                      0.0129562                     6.65682e-05                   0                             
44.994                        288                           0.986876                      0.0127755                     6.61582e-05                   0                             
44.994                        289                           0.987098                      0.0126238                     6.48079e-05                   0                             
44.994                        290                           0.987345                      0.0124979                     6.19877e-05                   0                             
44.994                        291                           0.987461                      0.0123926                     5.94685e-05                   0                             
44.994                        292                           0.987437                      0.0123075                     5.89504e-05                   0                             
44.994                        293                           0.987414                      0.0122467                     5.9884e-05                    0                             
44.994                        294                           0.987501                      0.0122137                     6.02133e-05                   0                             
44.994                        295                           0.987629                      0.012206                      5.902e-05                     0                             
44.994                        296                           0.987653                      0.0122071                     5.75796e-05                   0                             
44.994                        297                           0.987556                      0.0122042                     5.7635e-05                    0                             
44.994                        298                           0.987466                      0.0122012                     5.90837e-05                   0                             
44.994                        299                           0.987504                      0.012202                      6.00149e-05                   0                             

44.995                        0.0005                        0.999992                      1.2313e-32                    3.54522e-11                   0                             
44.995                        1.0005                        0.99983                       2.85321e-09                   2.91587e-08                   0                             
44.995                        2.0005                        0.999663                      4.59266e-08                   7.78842e-08                   0                             
44.995                        3.0005                        0.999712                      2.33732e-07                   8.17743e-08                   0                             
44.995                        4.0005                        0.999911                      7.38492e-07                   3.57779e-08                   0                             
44.995                        5.0005                        0.999994                      1.79543e-06                   6.40281e-10                   0                             
44.995                        6.0005                        0.999846                      3.71013e-06                   2.21257e-08                   0                             
