#Drive Frequency/2pi [GHz]    Time [ns]                     P(0)                          P(16)                         P(32)                         P(64)                         
44.99                         85.0005                       0.983864                      0.0157873                     0.000125948                   0                             
44.99                         86.0005                       0.984147                      0.0156821                     0.000126592                   0                             
44.99                         87.0005                       0.984262                      0.0155656                     0.000122185                   0                             
44.99                         88.0005                       0.984218                      0.0154301                     0.000117066                   0                             
44.99                         89.0005                       0.984252                      0.0152797                     0.000116394                   0                             
44.99                         90.0005                       0.984507                      0.015129                      0.000118179                   0                             
44.99                         91.0005                       0.984837                      0.0149842                     0.000116524                   0                             
44.99                         92.0005                       0.985012                      0.0148342                     0.000110849                   0                             
44.99                         93.0005                       0.985007                      0.0146681                     0.000106754                   0                             
44.99                         94.0005                       0.985045                      0.0144952                     0.00010723                    0                             
44.99                         95.0005                       0.985288                      0.0143355                     0.00010808                    0                             
44.99                         96.0005                       0.985622                      0.0141929                     0.000104654                   0                             
44.99                         97.0005                       0.985812                      0.0140505                     9.91502e-05                   0                             
44.99                         98.0005                       0.985804                      0.0138972                     9.70864e-05                   0                             
44.99                         99.0005                       0.985801                      0.0137481                     9.85923e-05                   0                             
44.99                         100.001                       0.985986                      0.0136257                     9.83396e-05                   0                             
44.99                         101.001                       0.986275                      0.0135287                     9.40855e-05                   0                             
44.99                         102.001                       0.986436                      0.013436                      9.01868e-05                   0                             
44.99                         103.001                       0.986385                      0.0133398                     9.06305e-05                   0                             
44.99                         104.001                       0.9863                        0.0132599                     9.2713e-05                    0                             
44.99                         105.001                       0.986384                      0.0132172                     9.14716e-05                   0                             
44.99                         106.001                       0.986587                      0.0132042                     8.76707e-05                   0                             
44.99                         107.001                       0.98668                       0.0131986                     8.65546e-05                   0                             
44.99                         108.001                       0.986549                      0.0131978                     8.9434e-05                    0                             
44.99                         109.001                       0.986348                      0.013224                      9.15971e-05                   0                             
44.99                         110.001                       0.986297                      0.0132927                     8.99621e-05                   0                             
44.99                         111.001                       0.986381                      0.0133913                     8.80972e-05                   0                             
44.99                         112.001                       0.986377                      0.0134997                     9.05075e-05                   0                             
44.99                         113.001                       0.986142                      0.0136207                     9.53565e-05                   0                             
44.99                         114.001                       0.985806                      0.0137751                     9.73883e-05                   0                             
44.99                         115.001                       0.985604                      0.0139711                     9.64933e-05                   0                             
44.99                         116.001                       0.985554                      0.0141936                     9.80129e-05                   0                             
44.99                         117.001                       0.985438                      0.0144279                     0.000104173                   0                             
44.99                         118.001                       0.985091                      0.0146803                     0.000110388                   0                             
44.99                         119.001                       0.984619                      0.0149659                     0.000112579                   0                             
44.99                         120.001                       0.984267                      0.015286                      0.000113916                   0                             
44.99                         121.001                       0.984083                      0.0156273                     0.000119893                   0                             
44.99                         122.001                       0.983859                      0.0159818                     0.000129462                   0                             
44.99                         123.001                       0.983411                      0.0163555                     0.000136497                   0                             
44.99                         124.001                       0.982824                      0.016755                      0.000139594                   0                             
44.99                         125.001                       0.982343                      0.0171772                     0.000144587                   0                             
44.99                         126.001                       0.982044                      0.0176147                     0.00015535                    0                             
44.99                         127.001                       0.981733                      0.018066                      0.000167422                   0                             
44.99                         128.001                       0.981214                      0.0185322                     0.000174847                   0                             
44.99                         129.001                       0.980548                      0.01901                       0.000179733                   0                             
44.99                         130.001                       0.979976                      0.0194961                     0.000189189                   0                             
44.99                         131.001                       0.979597                      0.0199928                     0.000204035                   0                             
44.99                         132.001                       0.979237                      0.0205021                     0.000217183                   0                             
44.99                         133.001                       0.978693                      0.0210164                     0.000224603                   0                             
44.99                         134.001                       0.977999                      0.0215237                     0.000231845                   0                             
44.99                         135.001                       0.977388                      0.0220249                     0.000245487                   0                             
44.99                         136.001                       0.976976                      0.0225333                     0.000262608                   0                             
44.99                         137.001                       0.976615                      0.0230513                     0.000275011                   0                             
